date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2008-08-20,252,10,0.95,0.99,10000,2008-08-30,1,1,0,['MSFT'],203.27858852547493,292.73518997972934,189.94173009746837,243.87315619433846,201.75496427356111,247.58273878722864,214.957720115183,267.4093522179907
2008-08-21,252,10,0.95,0.99,10000,2008-08-31,1,1,0,['MSFT'],200.7698608204776,292.73518997972945,189.7957927669119,243.8731561943385,204.7571408728985,248.98279696602492,213.92166565572052,265.9084931938959
2008-08-22,252,10,0.95,0.99,10000,2008-09-01,1,1,0,['MSFT'],199.6687465890016,290.00191310699046,189.64838132190536,243.87315619433846,203.45447727414182,247.90575277027656,214.64236270112391,268.0344924176678
2008-08-25,252,10,0.95,0.99,10000,2008-09-04,1,1,0,['MSFT'],198.61838315866873,290.00191310699046,189.55662305985973,241.24839070532497,203.43156906236246,251.8150447087132,213.46316907953172,266.2653005652956
2008-08-26,252,10,0.95,0.99,10000,2008-09-05,1,1,0,['MSFT'],197.55740999671636,290.00191310699046,189.53280416186476,241.248390705325,200.3146842729928,245.83336443013312,212.52859646972666,264.4403095482442
2008-08-27,252,10,0.95,0.99,10000,2008-09-06,1,1,0,['MSFT'],196.4857199341382,290.00191310699046,189.50874466894058,241.24839070532497,203.3791647409902,249.58846087597962,211.99576359825758,264.25049605660536
2008-08-28,252,10,0.95,0.99,10000,2008-09-07,1,1,0,['MSFT'],195.40320471941274,290.00191310699046,189.26315090974487,239.65863983666867,203.12443442939107,251.4219310451942,211.26934962387776,264.1204373142901
2008-08-29,252,10,0.95,0.99,10000,2008-09-08,1,1,0,['MSFT'],194.30975500756887,290.00191310699046,188.60298623786875,239.65863983666867,201.6521877130183,246.6654421533302,212.03170115817915,263.7767095301357
2008-09-02,252,10,0.95,0.99,10000,2008-09-12,1,1,0,['MSFT'],193.20526034914076,290.00191310699046,187.93615323597373,239.65863983666867,202.7715795542687,246.11242242342706,211.11331011968934,262.2703012472385
2008-09-03,252,10,0.95,0.99,10000,2008-09-13,1,1,0,['MSFT'],192.0896091790113,290.00191310699046,187.26258454719084,239.65863983666867,195.86427528413117,242.28147565933023,209.93412324236715,260.4857885411019
2008-09-04,252,10,0.95,0.99,10000,2008-09-14,1,1,0,['MSFT'],190.9626888051432,290.0019131069905,186.69605624606788,237.48542998659084,199.47715863814042,242.82030982967424,210.13314710679552,259.66813331616146
2008-09-05,252,10,0.95,0.99,10000,2008-09-15,1,1,0,['MSFT'],190.5179543785356,281.29098515131597,186.6419756933664,237.48542998659082,199.16270682605386,244.58264596295857,210.37375781264873,258.79657874080874
2008-09-08,252,10,0.95,0.99,10000,2008-09-18,1,1,0,['MSFT'],190.2234985254427,281.29098515131597,186.5873488724558,237.48542998659076,202.24514719222384,244.8817686159824,210.3367895840184,259.6514440221401
2008-09-09,252,10,0.95,0.99,10000,2008-09-19,1,1,0,['MSFT'],189.9260683708034,281.29098515131597,186.53217026547543,237.48542998659076,201.87034015949288,246.27030558771008,209.39736685279192,258.41208250919004
