date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2022-04-25,252,10,0.95,0.99,10000,2022-05-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5753.824975610911,6388.200828659494,5008.638785228508,5311.972473844713,4870.395883906072,6019.781961338725,5145.6124956986005,6411.093729399253,2022-05-05,-1614.8620605468732
2022-04-26,252,10,0.95,0.99,10000,2022-05-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5972.784758947346,6522.529963642461,5008.63516052152,5311.972473844713,5169.003692200544,6254.461607047462,5288.0841959680165,6534.332353828445,2022-05-06,368.0058288574219
2022-04-27,252,10,0.95,0.99,10000,2022-05-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5936.707423242969,6522.5299636424625,5008.63149920133,5311.972473844713,5047.225688629267,6186.249778837428,5278.207729783069,6548.599792771609,2022-05-06,-596.5953063964853
2022-04-28,252,10,0.95,0.99,10000,2022-05-08,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",5900.265670006223,6522.529963642461,5008.627800898109,5311.972473844714,5033.545351183443,6099.832496940477,5314.422867219868,6647.4190232748415,2022-05-06,-2507.333221435547
2022-04-29,252,10,0.95,0.99,10000,2022-05-09,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6191.935894547877,6834.7843746742965,5008.624065238289,5311.972473844713,5271.347405827485,6331.168498467334,5473.579410432348,6784.960422221424,2022-05-09,-2135.622558593751
2022-05-02,252,10,0.95,0.99,10000,2022-05-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6191.327911055604,6834.7843746742965,5008.620291844532,5311.972473844711,5277.865046526286,6423.093254304543,5443.716359306332,6773.770086098504,2022-05-12,-5272.01568603516
2022-05-03,252,10,0.95,0.99,10000,2022-05-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6190.713786315934,6834.7843746742965,5008.616480335686,5311.972473844713,5199.091792289267,6360.06770019145,5411.471419519952,6734.400589551353,2022-05-13,-3861.1973571777335
2022-05-04,252,10,0.95,0.99,10000,2022-05-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6190.093458296066,6834.7843746742965,5008.612630326751,5311.972473844713,5226.816297570502,6487.132375625213,5470.168107820173,6862.705710023319,2022-05-13,-5908.810882568359
2022-05-05,252,10,0.95,0.99,10000,2022-05-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6412.12316528609,7429.142913692066,5008.608741428837,5311.972473844713,5426.54313702625,6688.470812593861,5715.406523314382,7090.027636496606,2022-05-13,-2985.0592041015634
2022-05-06,252,10,0.95,0.99,10000,2022-05-16,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",6387.746792066016,7429.142913692066,5008.604813249125,5311.972473844713,5405.104088877419,6637.098204798733,5669.588803827081,7031.691239354455,2022-05-16,-3085.220489501953
