date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl
2020-12-02,252,10,0.95,0.99,10000,2020-12-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2246.8716307297454,3718.3976998426338,2220.1685090921032,2811.175586651414,2478.1702518678244,3164.7411174323847,2563.406551520521,3334.944232938872,2020-12-11,-240.7974243164034
2020-12-03,252,10,0.95,0.99,10000,2020-12-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2228.276632031753,3718.3976998426347,2216.908695120133,2811.1755866514145,2448.008847690186,3079.1833950197806,2555.643963423166,3321.317994693324,2020-12-11,-168.43582153320497
2020-12-04,252,10,0.95,0.99,10000,2020-12-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2209.4938050640835,3718.3976998426338,2213.6159537343046,2811.1755866514145,2369.024262678896,3058.78025077217,2548.4288527114586,3308.2698633418017,2020-12-14,-159.73838806152528
2020-12-07,252,10,0.95,0.99,10000,2020-12-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2197.3075547376384,3671.2004476610955,2210.289952334478,2811.1755866514145,2419.898491094313,3121.0666570713156,2536.5596997884245,3297.179982949702,2020-12-17,613.1299591064449
2020-12-08,252,10,0.95,0.99,10000,2020-12-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2197.17323079983,3671.2004476610946,2206.9303549609162,2811.175586651414,2375.1832413978486,3001.906549366286,2526.6882678708325,3287.811900377087,2020-12-18,218.62014770507812
2020-12-09,252,10,0.95,0.99,10000,2020-12-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2197.0375500545692,3671.2004476610955,2203.5368222603483,2811.1755866514145,2388.9582023189473,3010.6667978191485,2535.9257883376736,3281.7091493427088,2020-12-18,722.7972412109389
2020-12-10,252,10,0.95,0.99,10000,2020-12-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2196.90049879673,3671.200447661096,2200.1090114516937,2811.1755866514154,2328.3551030867934,3011.659329673822,2526.995609594651,3271.6380173367406,2020-12-18,657.2677612304688
2020-12-11,252,10,0.95,0.99,10000,2020-12-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2194.6849490557865,3620.848510577061,2196.6465762914368,2811.1755866514145,2380.3069987849562,3042.3705173623002,2517.4993772493426,3259.693762157376,2020-12-21,952.7584075927721
2020-12-14,252,10,0.95,0.99,10000,2020-12-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2192.218923336116,3620.848510577061,2180.369886483858,2741.905114979221,2349.3612430064154,3036.8219661373737,2510.6876247831524,3247.7205572703115,2020-12-24,1373.3624267578152
2020-12-15,252,10,0.95,0.99,10000,2020-12-25,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2189.727988265741,3620.848510577061,2138.579804748244,2741.905114979221,2375.894380416822,3045.5553092966666,2512.8175836464807,3269.8366179449813,2020-12-24,770.338897705081
2020-12-16,252,10,0.95,0.99,10000,2020-12-26,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2187.211892235059,3620.848510577061,2096.367600974895,2741.9051149792213,2388.9725990938227,3072.6371200178664,2501.7245298274665,3261.902466057333,2020-12-24,536.4202117919908
2020-12-17,252,10,0.95,0.99,10000,2020-12-27,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2184.6703810929566,3620.848510577061,2058.9485638248048,2720.3576911744435,2318.7173357915053,2990.9959207060156,2492.908223609025,3251.755676058621,2020-12-24,467.97393798828125
2020-12-18,252,10,0.95,0.99,10000,2020-12-28,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2182.103198121136,3620.848510577061,2052.765262913892,2720.3576911744435,2438.4505176218504,3082.968481690066,2490.6545753676673,3238.8493412233183,2020-12-28,1351.4031982421861
2020-12-21,252,10,0.95,0.99,10000,2020-12-31,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2179.510084008186,3620.848510577061,2046.519504418021,2720.3576911744435,2371.371874201442,2988.487866064665,2483.2116383939842,3239.3616654451043,2020-12-31,452.5164794921875
2020-12-22,252,10,0.95,0.99,10000,2021-01-01,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2176.8907768233876,3620.848510577061,2042.053689619985,2701.525291632648,2381.857906697799,2990.5770917481445,2476.1280204743484,3242.8258260632997,2020-12-31,54.24560546875
2020-12-23,252,10,0.95,0.99,10000,2021-01-02,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2174.245011990258,3620.848510577061,2041.1468683805354,2701.525291632649,2305.815450601252,2942.329318518616,2475.0819131606445,3232.2724136648503,2020-12-31,271.579971313478
2020-12-24,252,10,0.95,0.99,10000,2021-01-03,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2171.572522259824,3620.848510577061,2040.2308873305863,2701.525291632649,2285.1495656919087,2969.176776927054,2463.763866111048,3223.0084535651417,2020-12-31,81.72027587890483
2020-12-28,252,10,0.95,0.99,10000,2021-01-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2168.490971532579,3472.2129983298228,2021.2821469747398,2682.927887885612,2343.488748726201,3019.9024275834204,2460.1554122212224,3238.5003867791447,2021-01-07,-879.8706054687486
2020-12-29,252,10,0.95,0.99,10000,2021-01-08,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2163.250259601747,3472.2129983298228,1984.2567990665045,2682.9278878856117,2352.37068929947,3056.3158955996555,2459.7539563486307,3228.0207208385127,2021-01-08,-431.4857482910156
2020-12-30,252,10,0.95,0.99,10000,2021-01-09,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2157.9566111867653,3472.212998329822,1946.8574577450547,2682.9278878856117,2313.935617660509,3033.7143919820787,2463.230327963807,3221.2074721764475,2021-01-08,-169.4115447998047
2020-12-31,252,10,0.95,0.99,10000,2021-01-10,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2153.452006714766,3435.6074088604437,1946.0411517644363,2664.486017351476,2375.587714876165,3014.2326961414924,2450.632075527308,3203.0575755189316,2021-01-08,-129.0441131591797
2021-01-04,252,10,0.95,0.99,10000,2021-01-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2150.4763694530907,3435.6074088604437,1945.9360980800423,2664.486017351476,2377.301114322229,3003.298038950162,2470.0229847772735,3206.6910697288213,2021-01-14,-265.0409698486328
2021-01-05,252,10,0.95,0.99,10000,2021-01-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",2147.4706752493794,3435.6074088604437,1945.806652556858,2643.3533797905257,2336.0089402413705,2978.6074343248174,2457.1382777816266,3196.0033042409414,2021-01-15,-646.1701965332045
